"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
0.007,0.007,0.01,0.006,0.008,0.008,0.011,0.007,0.007,0.011,0.011,0.005,0.013,0.011,0.007,0.012,0.015,0.013,0.01,0.012,0.016,0.008,0.014,0.019,0.023,0.014,0.015,0.019,0.023,0.028,0.028,0.025,0.023,0.017,0.026,0.037,0.033,0.032,0.035,0.023,0.029,0.041,0.053,0.034,0.034,0.057,0.041,0.053,0.044,0.046,0.061,0.063,0.057,0.048,0.079,0.065,0.05,0.061,0.063,0.077,0.058,0.095,0.091,0.104,0.092,0.105,0.092,0.117,0.104,0.116,0.106,0.106,0.122,0.157,0.134,0.138,0.155,0.167,0.164,0.179,0.18,0.166,0.202,0.219,0.227,0.23,0.257,0.234,0.269,0.285,0.299,0.313,0.327,0.326,0.37,0.366,0.377,0.395,0.403,0.476,0.492,0.531,0.525,0.519,0.602,0.623,0.622,0.689,0.639,0.738,0.753,0.812,0.773,0.84,0.893,0.89,0.926,1.032,1.057,1.18,1.205,1.228,1.271,1.28,1.407,1.423,1.517,1.688,1.681,1.782,1.953,2.075,1.974,2.11,2.212,2.253,2.444,2.539,2.646,2.718,2.964,3.029,3.232,3.382,3.481,3.761,3.808,3.918,4.261,4.464,4.618,4.881,5.181,5.278,5.68,5.929,5.882,6.332,6.578,7.143,7.481,7.874,8.196,8.452,8.964,8.911,9.389,10.187,10.346,10.933,11.307,11.843,12.36,13.072,13.946,14.567,14.931,15.38,15.937,16.541,17.575,17.96,18.428,19.171,19.901,20.865,21.737,22.804,23.821,25.53,26.145,28.105,31.896,33.642,35.646,36.27,38.038,54.09,59.998,NA
0.007,0.007,0.007,0.01,0.004,0.011,0.01,0.009,0.006,0.013,0.013,0.011,0.018,0.011,0.011,0.01,0.014,0.012,0.014,0.007,0.018,0.017,0.021,0.022,0.01,0.025,0.033,0.019,0.023,0.021,0.02,0.02,0.019,0.023,0.019,0.03,0.031,0.031,0.034,0.048,0.041,0.032,0.042,0.039,0.034,0.042,0.043,0.041,0.061,0.048,0.06,0.054,0.053,0.059,0.065,0.06,0.077,0.061,0.074,0.078,0.069,0.078,0.094,0.093,0.092,0.082,0.11,0.125,0.114,0.123,0.123,0.108,0.133,0.152,0.15,0.141,0.16,0.176,0.174,0.192,0.198,0.217,0.208,0.22,0.233,0.257,0.255,0.252,0.283,0.281,0.312,0.296,0.331,0.304,0.345,0.366,0.422,0.378,0.377,0.433,0.427,0.513,0.529,0.544,0.549,0.57,0.559,0.638,0.676,0.738,0.729,0.759,0.781,0.859,0.908,0.914,0.958,1.001,1.018,1.06,1.151,1.195,1.22,1.311,1.395,1.38,1.52,1.513,1.701,1.696,1.814,1.821,1.97,1.994,2.202,2.216,2.345,2.385,2.531,2.615,2.743,2.957,2.961,3.128,3.285,3.501,3.616,3.705,3.922,4.052,4.23,4.271,4.591,4.665,4.798,5.163,5.355,5.6,6.091,6.027,6.439,6.566,6.706,7.335,7.471,7.962,7.746,8.37,8.69,8.91,9.463,9.892,10.262,10.891,11.121,11.592,12.147,12.308,13.149,13.838,14.281,15.151,15.964,16.518,18.083,18.611,19.916,21.412,22.619,24.66,25.535,27.69,31.056,33.399,36.358,36.802,39.774,54.788,59.635,NA
0.012,0.01,0.014,0.004,0.008,0.015,0.01,0.009,0.01,0.009,0.007,0.01,0.009,0.007,0.009,0.009,0.014,0.023,0.011,0.013,0.016,0.026,0.013,0.018,0.016,0.015,0.021,0.029,0.022,0.024,0.022,0.028,0.018,0.022,0.032,0.018,0.026,0.035,0.035,0.027,0.044,0.03,0.041,0.04,0.036,0.042,0.043,0.038,0.05,0.048,0.047,0.047,0.057,0.061,0.064,0.084,0.062,0.077,0.073,0.071,0.086,0.093,0.069,0.089,0.104,0.116,0.101,0.102,0.095,0.123,0.116,0.148,0.13,0.128,0.146,0.146,0.172,0.167,0.184,0.165,0.189,0.22,0.205,0.222,0.26,0.259,0.233,0.264,0.265,0.331,0.303,0.309,0.306,0.327,0.363,0.374,0.426,0.387,0.45,0.442,0.458,0.482,0.543,0.544,0.552,0.613,0.639,0.663,0.639,0.747,0.744,0.777,0.835,0.879,0.932,0.958,0.976,1.062,1.065,1.11,1.191,1.266,1.281,1.329,1.481,1.55,1.543,1.632,1.617,1.831,1.878,1.971,2.053,2.131,2.38,2.311,2.471,2.53,2.654,2.74,2.851,3.085,3.127,3.411,3.524,3.778,3.619,4.012,4.326,4.549,4.68,4.773,4.955,5.254,5.473,5.679,6.243,6.462,6.775,7.226,6.854,7.579,8.157,8.339,8.766,8.965,9.211,9.875,9.969,10.327,11.126,11.51,12.003,12.754,13.319,13.543,14.283,14.786,15.623,16.306,16.872,17.735,18.076,18.694,19.637,20.463,21.254,22.622,23.921,25.888,26.816,28.742,33.154,34.628,37.078,37.675,39.971,55.522,59.992,NA
0.006,0.01,0.01,0.01,0.004,0.007,0.015,0.012,0.01,0.013,0.015,0.007,0.01,0.008,0.014,0.014,0.017,0.015,0.015,0.012,0.012,0.007,0.021,0.026,0.016,0.015,0.022,0.022,0.028,0.025,0.025,0.025,0.021,0.024,0.03,0.024,0.028,0.029,0.031,0.041,0.028,0.035,0.038,0.052,0.044,0.046,0.032,0.054,0.042,0.05,0.053,0.043,0.064,0.052,0.06,0.071,0.069,0.049,0.068,0.098,0.07,0.098,0.097,0.083,0.079,0.103,0.114,0.122,0.119,0.108,0.141,0.118,0.126,0.139,0.15,0.127,0.185,0.164,0.192,0.202,0.192,0.183,0.229,0.238,0.234,0.236,0.263,0.281,0.256,0.267,0.271,0.336,0.337,0.323,0.349,0.354,0.401,0.414,0.455,0.442,0.46,0.478,0.505,0.535,0.587,0.573,0.622,0.628,0.652,0.729,0.715,0.742,0.768,0.822,0.907,0.941,0.944,0.96,1.074,1.08,1.184,1.193,1.239,1.312,1.386,1.453,1.463,1.602,1.585,1.699,1.743,1.843,1.856,2.016,2.05,2.307,2.26,2.44,2.497,2.694,2.757,2.854,3.06,3.164,3.307,3.472,3.518,3.844,3.797,4.049,4.281,4.428,4.527,4.728,4.923,5.126,5.373,5.591,5.873,6.225,6.319,6.629,6.906,7.135,7.585,7.937,7.991,8.686,8.857,9.323,9.689,9.661,10.324,10.576,11.13,11.5,12.298,12.531,13.1,13.78,14.428,14.943,15.849,17.083,17.947,18.962,20.168,21.717,23.148,24.547,25.145,27.665,31.428,33.628,35.86,37.134,40.161,54.767,59.686,NA
0.007,0.014,0.011,0.007,0.009,0.01,0.014,0.018,0.012,0.007,0.017,0.013,0.018,0.016,0.014,0.014,0.017,0.018,0.019,0.018,0.028,0.022,0.029,0.03,0.026,0.023,0.016,0.033,0.037,0.029,0.038,0.041,0.035,0.039,0.032,0.034,0.045,0.049,0.049,0.044,0.048,0.055,0.046,0.045,0.05,0.067,0.073,0.071,0.081,0.083,0.082,0.093,0.085,0.079,0.093,0.095,0.103,0.094,0.113,0.123,0.114,0.122,0.142,0.133,0.131,0.152,0.139,0.173,0.171,0.179,0.197,0.165,0.184,0.212,0.212,0.227,0.235,0.272,0.26,0.283,0.286,0.313,0.309,0.347,0.351,0.402,0.402,0.38,0.43,0.45,0.469,0.481,0.483,0.55,0.524,0.549,0.596,0.627,0.662,0.699,0.691,0.742,0.793,0.821,0.872,0.898,0.921,0.97,0.976,1.035,1.07,1.173,1.179,1.178,1.344,1.389,1.383,1.467,1.554,1.663,1.683,1.746,1.85,1.883,2.019,2.052,2.182,2.293,2.359,2.472,2.608,2.661,2.841,2.893,2.984,3.249,3.288,3.571,3.662,3.821,3.907,4.123,4.393,4.529,4.837,4.844,5.293,5.448,5.747,5.909,6.064,6.328,6.636,7.125,7.545,7.96,8.125,8.462,8.778,8.968,9.463,9.731,10.169,10.434,10.954,11.169,11.495,11.759,12.374,12.764,13.114,13.76,14.211,14.479,15.338,15.805,15.973,16.423,16.726,17.266,18.545,18.359,18.953,19.292,20.6,20.671,21.883,22.652,24.044,25.48,26.896,28.132,32.584,33.866,36.907,36.222,38.371,54.178,59.962,NA
0.01,0.01,0.011,0.008,0.015,0.013,0.007,0.012,0.007,0.02,0.011,0.013,0.014,0.016,0.02,0.024,0.02,0.019,0.023,0.017,0.015,0.026,0.022,0.032,0.026,0.02,0.024,0.023,0.031,0.026,0.035,0.028,0.029,0.036,0.027,0.036,0.03,0.041,0.038,0.047,0.048,0.057,0.052,0.037,0.047,0.058,0.066,0.076,0.058,0.073,0.08,0.079,0.087,0.088,0.091,0.105,0.109,0.114,0.104,0.1,0.14,0.124,0.148,0.121,0.14,0.145,0.147,0.144,0.188,0.173,0.185,0.195,0.213,0.182,0.205,0.231,0.243,0.28,0.25,0.257,0.304,0.283,0.299,0.327,0.356,0.389,0.403,0.381,0.384,0.449,0.472,0.442,0.522,0.547,0.536,0.605,0.598,0.611,0.614,0.654,0.677,0.722,0.752,0.793,0.82,0.833,0.897,0.925,1.006,0.995,1.076,1.067,1.148,1.133,1.227,1.314,1.337,1.446,1.49,1.571,1.638,1.728,1.738,1.871,1.964,2.133,2.114,2.179,2.279,2.313,2.423,2.544,2.685,2.805,2.955,3.004,3.201,3.281,3.527,3.687,3.719,3.937,4.08,4.259,4.45,4.588,4.725,4.917,5.026,5.25,5.67,5.863,6.168,6.313,6.543,6.974,7.277,7.292,7.74,7.667,8.154,8.606,8.755,8.857,9.323,9.778,10.068,10.559,10.637,10.835,11.321,11.606,11.941,12.605,12.65,13.205,12.864,14.373,14.357,14.167,14.907,15.406,16.13,16.688,17.472,18.576,19.9,21.549,22.945,24.588,25.335,27.995,31.558,34.584,36.268,37.685,39.657,55.1,59.442,NA
0.008,0.004,0.007,0.007,0.006,0.011,0.012,0.007,0.012,0.012,0.01,0.01,0.014,0.011,0.006,0.013,0.021,0.018,0.022,0.01,0.014,0.019,0.015,0.023,0.026,0.019,0.025,0.028,0.03,0.028,0.021,0.028,0.038,0.022,0.038,0.024,0.031,0.039,0.028,0.029,0.039,0.044,0.047,0.052,0.055,0.055,0.061,0.083,0.068,0.066,0.07,0.081,0.078,0.08,0.071,0.08,0.11,0.082,0.099,0.099,0.103,0.117,0.126,0.118,0.144,0.134,0.144,0.143,0.164,0.164,0.172,0.164,0.199,0.186,0.214,0.229,0.218,0.223,0.236,0.245,0.275,0.287,0.286,0.323,0.353,0.379,0.394,0.389,0.382,0.399,0.466,0.446,0.486,0.491,0.493,0.541,0.561,0.634,0.611,0.666,0.706,0.736,0.757,0.796,0.796,0.812,0.889,0.92,0.965,1.014,1.081,1.105,1.168,1.215,1.26,1.339,1.426,1.443,1.501,1.553,1.695,1.701,1.808,1.89,2.023,2.099,2.176,2.29,2.298,2.552,2.613,2.678,2.879,2.948,3.167,3.241,3.306,3.471,3.661,3.745,3.998,4.147,4.469,4.53,4.793,4.855,5.122,5.352,5.63,5.676,5.986,6.253,6.668,6.874,7.127,7.607,7.87,8.166,8.351,8.888,9.187,9.203,9.566,9.879,10.582,10.703,11.072,11.449,11.944,12.232,12.599,13.053,13.496,13.919,14.813,14.571,14.626,15.866,15.969,16.762,17.12,17.726,18.144,19.19,19.631,20.649,21.566,22.919,24.226,25.731,27.041,28.478,32.972,34.193,36.593,37.339,40.208,55.525,59.985,NA
0.006,0.012,0.008,0.011,0.014,0.02,0.012,0.007,0.01,0.012,0.011,0.007,0.011,0.011,0.016,0.017,0.023,0.017,0.016,0.017,0.015,0.017,0.019,0.019,0.021,0.026,0.023,0.027,0.024,0.035,0.026,0.033,0.024,0.024,0.033,0.026,0.042,0.034,0.041,0.05,0.038,0.032,0.052,0.054,0.05,0.061,0.067,0.056,0.052,0.066,0.064,0.053,0.076,0.074,0.065,0.082,0.086,0.081,0.096,0.094,0.126,0.102,0.124,0.138,0.127,0.127,0.146,0.173,0.164,0.17,0.167,0.164,0.197,0.198,0.223,0.213,0.217,0.228,0.284,0.278,0.3,0.312,0.298,0.326,0.351,0.366,0.351,0.389,0.378,0.426,0.419,0.447,0.492,0.491,0.493,0.546,0.567,0.624,0.616,0.647,0.692,0.731,0.664,0.768,0.722,0.803,0.928,0.914,0.932,1.004,1.031,1.08,1.139,1.165,1.184,1.332,1.404,1.475,1.527,1.616,1.648,1.662,1.766,1.813,1.915,1.981,2.116,2.147,2.273,2.395,2.434,2.534,2.734,2.775,2.951,2.997,3.15,3.336,3.409,3.58,3.663,3.859,3.99,4.204,4.313,4.554,4.697,4.902,5.15,5.358,5.558,5.626,6.029,6.3,6.482,6.687,6.831,7.199,7.397,7.715,7.843,8.087,8.364,8.744,8.945,9.158,9.469,9.876,10.335,10.469,10.936,11.352,11.444,11.794,12.314,12.622,13.082,13.192,13.779,14.817,15.082,15.707,16.354,17.071,17.765,19.276,20.307,21.697,23.213,24.54,25.22,27.514,31.646,33.393,36.271,37.402,40.069,54.946,59.586,NA
