"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
0.004,0.004,NA,NA,NA,NA,0.004,NA,0.002,0.003,0.004,0.004,0.002,0.004,0.002,0.006,0.007,0.004,0.002,0.002,0.003,NA,0.004,0.004,0.006,0.004,0.002,0.006,0.004,0.007,0.006,0.006,0.003,0.012,0.007,0.01,0.007,0.009,0.01,0.007,0.01,0.009,0.004,0.012,0.012,0.012,0.01,0.015,0.014,0.012,0.004,0.02,0.014,0.017,0.018,0.015,0.019,0.024,0.02,0.022,0.021,0.034,0.032,0.016,0.026,0.022,0.027,0.036,0.028,0.021,0.038,0.035,0.039,0.038,0.029,0.04,0.043,0.031,0.051,0.056,0.035,0.047,0.065,0.047,0.042,0.063,0.062,0.069,0.074,0.064,0.077,0.068,0.095,0.088,0.072,0.073,0.088,0.089,0.102,0.104,0.128,0.132,0.113,0.134,0.141,0.147,0.143,0.138,0.187,0.171,0.165,0.192,0.199,0.192,0.19,0.205,0.22,0.213,0.254,0.285,0.324,0.276,0.274,0.271,0.287,0.314,0.362,0.389,0.388,0.399,0.448,0.447,0.481,0.5,0.555,0.522,0.554,0.586,0.612,0.674,0.701,0.759,0.76,0.824,0.777,0.818,0.893,0.962,0.957,1.075,1.112,1.177,1.161,1.275,1.33,1.405,1.428,1.642,1.637,1.685,1.717,1.802,1.994,2.01,2.091,2.103,2.273,2.284,2.516,2.446,2.691,2.646,2.777,2.86,3.045,3.26,3.306,3.506,3.569,3.628,3.787,4,4.127,4.312,4.468,4.633,4.802,4.924,4.977,5.503,6.096,6.6,6.83,7.163,7.502,7.92,9.945,12.259,14.051,NA
0.004,NA,NA,NA,0.004,0.002,NA,NA,0.002,0.002,0.004,NA,0.006,NA,0.003,0.006,0.002,0.002,0.002,0.004,0.006,0.002,0.005,0.006,0.01,NA,0.008,0.006,0.007,0.01,0.002,0.012,0.014,0.005,0.006,0.012,0.007,0.013,0.013,0.009,0.014,0.007,0.009,0.02,0.019,0.016,0.013,0.014,0.006,0.014,0.014,0.015,0.014,0.019,0.015,0.021,0.019,0.021,0.012,0.017,0.018,0.02,0.019,0.031,0.017,0.019,0.025,0.021,0.035,0.039,0.028,0.025,0.037,0.037,0.041,0.032,0.04,0.042,0.047,0.051,0.046,0.052,0.059,0.05,0.055,0.048,0.08,0.062,0.083,0.073,0.077,0.072,0.075,0.088,0.081,0.093,0.092,0.092,0.108,0.106,0.097,0.094,0.125,0.122,0.147,0.124,0.152,0.157,0.166,0.167,0.188,0.177,0.183,0.206,0.209,0.242,0.214,0.258,0.261,0.267,0.273,0.266,0.305,0.302,0.315,0.351,0.371,0.358,0.426,0.405,0.408,0.44,0.449,0.496,0.497,0.559,0.564,0.603,0.658,0.644,0.678,0.742,0.745,0.799,0.796,0.859,0.857,0.963,0.917,1.003,1.014,1.025,1.155,1.216,1.348,1.316,1.414,1.538,1.57,1.693,1.557,1.638,1.747,1.93,1.916,2.036,2.043,2.267,2.288,2.439,2.546,2.459,2.613,2.744,2.893,3.069,3.173,3.313,3.44,3.549,3.603,3.846,3.981,4.177,4.274,4.418,4.727,4.78,4.906,5.558,5.953,6.265,6.837,7.261,7.866,8.39,10.245,13.648,14.537,NA
0.002,0.002,0.003,0.002,0.007,NA,0.006,NA,0.006,0.006,0.004,0.005,0.005,0.004,0.002,0.004,0.004,NA,0.002,NA,NA,0.007,0.004,0.004,0.005,0.002,0.009,0.006,0.005,0.004,0.005,0.004,0.01,0.004,0.004,0.007,0.006,0.008,0.006,0.009,0.009,0.016,0.016,0.016,0.012,0.005,0.012,0.012,0.021,0.017,0.013,0.015,0.017,0.014,0.022,0.02,0.019,0.026,0.011,0.022,0.025,0.021,0.016,0.014,0.022,0.025,0.02,0.024,0.029,0.039,0.032,0.037,0.038,0.036,0.032,0.039,0.041,0.049,0.037,0.039,0.04,0.047,0.039,0.061,0.053,0.068,0.06,0.064,0.069,0.061,0.064,0.084,0.079,0.073,0.093,0.096,0.094,0.084,0.109,0.116,0.101,0.119,0.092,0.12,0.127,0.141,0.13,0.16,0.157,0.182,0.158,0.16,0.211,0.178,0.234,0.209,0.196,0.217,0.253,0.261,0.275,0.265,0.268,0.312,0.331,0.319,0.35,0.336,0.37,0.422,0.416,0.445,0.48,0.476,0.495,0.53,0.54,0.593,0.606,0.582,0.645,0.698,0.698,0.808,0.748,0.726,0.844,0.881,0.878,1.013,1.004,1.024,1.039,1.115,1.124,1.257,1.323,1.229,1.331,1.449,1.446,1.507,1.58,1.672,1.62,1.662,1.824,1.771,1.871,1.954,2.147,2.249,2.226,2.277,2.393,2.573,2.615,2.694,2.863,2.989,3.01,3.162,3.287,3.589,3.628,3.893,4.072,4.331,4.686,5.042,5.771,6.362,7.058,7.53,7.993,8.671,10.412,14.057,14.88,NA
NA,0.004,NA,NA,0.003,0.002,NA,0.004,0.002,NA,NA,0.002,0.004,0.004,0.002,0.008,0.004,NA,0.004,0.002,0.003,0.004,0.006,0.004,0.01,0.004,0.004,0.007,0.002,0.009,0.012,0.004,0.006,0.009,0.006,0.013,0.005,0.005,0.009,0.007,0.009,0.009,0.01,0.01,0.01,0.01,0.013,0.011,0.014,0.015,0.011,0.021,0.016,0.023,0.017,0.022,0.012,0.021,0.019,0.021,0.022,0.025,0.02,0.026,0.026,0.026,0.026,0.036,0.025,0.033,0.037,0.041,0.031,0.037,0.036,0.052,0.037,0.049,0.047,0.051,0.044,0.061,0.053,0.051,0.061,0.071,0.06,0.058,0.056,0.066,0.071,0.084,0.083,0.083,0.082,0.094,0.112,0.111,0.104,0.125,0.104,0.109,0.128,0.14,0.12,0.137,0.149,0.139,0.151,0.147,0.138,0.2,0.189,0.195,0.197,0.213,0.226,0.219,0.219,0.266,0.265,0.276,0.265,0.329,0.345,0.325,0.361,0.376,0.352,0.409,0.4,0.416,0.454,0.469,0.502,0.568,0.554,0.515,0.519,0.597,0.67,0.625,0.698,0.722,0.738,0.759,0.848,0.809,0.845,0.939,0.95,1.041,1.16,1.169,1.135,1.217,1.273,1.325,1.41,1.384,1.533,1.485,1.527,1.539,1.648,1.805,1.768,1.905,1.947,1.962,2.086,2.107,2.219,2.369,2.308,2.484,2.599,2.641,2.838,2.927,2.994,3.259,3.275,3.533,3.69,3.86,4.108,4.286,4.69,4.949,5.794,6.225,6.845,7.346,8.103,8.757,10.657,14.134,14.872,NA
0.005,0.004,0.009,0.002,0.007,0.004,0.009,0.01,0.007,0.009,0.009,0.006,0.006,0.003,0.009,0.009,0.008,0.004,0.007,0.007,0.005,0.007,0.003,0.002,0.01,0.007,0.006,0.01,0.014,0.011,0.014,0.016,0.01,0.008,0.013,0.013,0.014,0.012,0.022,0.013,0.014,0.02,0.024,0.024,0.021,0.025,0.021,0.024,0.019,0.033,0.031,0.026,0.028,0.024,0.029,0.034,0.028,0.026,0.034,0.036,0.04,0.048,0.033,0.042,0.038,0.041,0.055,0.044,0.048,0.062,0.047,0.04,0.047,0.058,0.057,0.058,0.06,0.062,0.069,0.068,0.081,0.106,0.083,0.097,0.101,0.09,0.116,0.109,0.119,0.122,0.108,0.127,0.123,0.131,0.152,0.161,0.16,0.155,0.178,0.184,0.173,0.211,0.215,0.206,0.221,0.219,0.268,0.266,0.226,0.287,0.253,0.255,0.287,0.331,0.333,0.321,0.349,0.389,0.359,0.396,0.376,0.398,0.442,0.526,0.465,0.512,0.497,0.506,0.538,0.568,0.642,0.631,0.686,0.802,0.791,0.852,0.893,0.902,0.9,0.986,1.025,1.107,1.159,1.187,1.167,1.287,1.26,1.395,1.481,1.51,1.645,1.82,1.703,2.064,2.016,2.093,2.135,2.345,2.397,2.579,2.597,2.701,2.889,2.776,2.913,2.968,3.027,3.14,3.184,3.357,3.368,3.533,3.562,3.711,3.799,3.93,3.961,4.159,4.278,4.339,4.336,4.487,4.388,4.588,4.569,4.683,4.915,5.086,5.227,5.597,6.155,6.721,7.176,7.223,7.796,8.414,9.819,13.227,14.074,NA
0.002,0.006,NA,NA,0.004,NA,0.004,NA,0.002,0.004,0.002,0.012,0.002,0.002,0.007,0.004,0.002,0.008,0.004,0.004,0.008,0.012,0.007,0.008,0.008,0.009,0.015,0.01,0.018,0.009,0.011,0.01,0.011,0.012,0.014,0.014,0.011,0.023,0.009,0.019,0.015,0.016,0.021,0.019,0.017,0.02,0.028,0.02,0.027,0.024,0.029,0.026,0.022,0.028,0.033,0.021,0.033,0.032,0.036,0.033,0.041,0.031,0.044,0.045,0.038,0.055,0.034,0.042,0.042,0.055,0.058,0.058,0.054,0.055,0.057,0.069,0.076,0.071,0.089,0.08,0.067,0.074,0.071,0.092,0.077,0.102,0.086,0.086,0.115,0.117,0.104,0.118,0.122,0.13,0.112,0.135,0.165,0.165,0.162,0.172,0.194,0.179,0.203,0.182,0.201,0.234,0.216,0.217,0.224,0.221,0.266,0.247,0.3,0.303,0.304,0.3,0.323,0.334,0.353,0.374,0.384,0.415,0.445,0.501,0.471,0.509,0.49,0.514,0.586,0.565,0.6,0.626,0.645,0.702,0.734,0.8,0.834,0.876,0.953,1.013,1.011,1.088,1.139,1.156,1.179,1.177,1.262,1.341,1.378,1.429,1.508,1.623,1.729,1.811,1.849,1.975,2.04,2.02,2.1,2.172,2.24,2.449,2.491,2.505,2.641,2.636,2.751,2.961,2.997,3.014,3.157,3.159,3.202,3.378,3.556,3.486,3.615,3.757,3.707,3.841,4.107,3.965,4.239,4.381,4.508,4.636,4.864,4.922,5.233,5.643,6.182,6.398,7.174,7.234,7.993,8.576,10.361,14.082,14.574,NA
0.004,0.002,0.003,0.004,0.004,0.009,0.006,0.006,0.003,0.006,0.004,0.006,0.007,0.002,0.008,0.004,0.007,0.003,0.004,0.007,0.01,0.008,0.006,0.007,0.006,0.009,0.014,0.01,0.01,0.013,0.011,0.013,0.008,0.014,0.012,0.009,0.012,0.021,0.017,0.009,0.021,0.023,0.019,0.019,0.017,0.015,0.021,0.02,0.018,0.022,0.023,0.033,0.02,0.028,0.022,0.019,0.015,0.027,0.03,0.031,0.039,0.031,0.048,0.035,0.042,0.038,0.049,0.043,0.052,0.045,0.047,0.05,0.049,0.059,0.044,0.059,0.057,0.069,0.071,0.069,0.074,0.065,0.09,0.077,0.077,0.105,0.089,0.112,0.108,0.111,0.124,0.115,0.124,0.144,0.143,0.158,0.134,0.154,0.167,0.182,0.184,0.175,0.197,0.175,0.197,0.2,0.231,0.239,0.26,0.239,0.268,0.272,0.264,0.289,0.328,0.325,0.351,0.343,0.376,0.379,0.408,0.411,0.438,0.456,0.431,0.488,0.517,0.517,0.57,0.623,0.567,0.636,0.638,0.731,0.725,0.82,0.79,0.824,0.804,0.881,0.918,0.94,1.043,1.076,1.094,1.146,1.196,1.273,1.379,1.45,1.499,1.534,1.586,1.733,1.735,1.745,1.801,1.879,1.973,2.099,2.079,2.142,2.246,2.185,2.355,2.439,2.639,2.729,2.843,2.776,2.887,2.977,2.932,3.043,3.041,3.108,3.181,3.165,3.29,3.18,3.258,3.385,3.391,3.61,3.839,4.014,4.164,4.537,5.068,5.522,6.014,6.682,7.279,7.689,8.444,9.644,11.323,14.369,NA,NA
0.003,0.002,NA,0.002,0.005,0.007,0.008,0.004,0.01,0.004,0.005,0.002,0.002,NA,0.005,0.008,0.01,0.01,0.003,0.007,0.005,0.009,0.009,0.011,0.01,0.015,0.006,0.013,0.015,0.009,0.011,0.013,0.017,0.012,0.013,0.009,0.015,0.024,0.016,0.017,0.012,0.015,0.011,0.008,0.017,0.026,0.017,0.019,0.018,0.019,0.029,0.028,0.032,0.033,0.026,0.027,0.02,0.028,0.036,0.036,0.03,0.039,0.031,0.049,0.037,0.035,0.034,0.051,0.041,0.049,0.054,0.054,0.054,0.063,0.06,0.058,0.057,0.077,0.083,0.066,0.085,0.079,0.068,0.084,0.091,0.082,0.105,0.101,0.116,0.123,0.12,0.099,0.122,0.123,0.137,0.14,0.138,0.131,0.157,0.152,0.166,0.154,0.177,0.199,0.202,0.218,0.212,0.243,0.244,0.249,0.259,0.281,0.287,0.274,0.276,0.332,0.335,0.326,0.355,0.395,0.43,0.4,0.423,0.447,0.48,0.497,0.527,0.494,0.544,0.577,0.604,0.601,0.601,0.709,0.739,0.794,0.807,0.839,0.9,0.862,0.931,0.935,1.06,1.065,1.11,1.121,1.176,1.321,1.351,1.414,1.385,1.453,1.605,1.626,1.634,1.773,1.869,1.813,1.932,1.958,1.995,2.017,2.168,2.173,2.258,2.389,2.498,2.51,2.382,2.617,2.493,2.667,2.811,2.718,2.738,2.954,2.946,2.891,3.157,3.118,3.223,3.297,3.451,3.571,3.68,3.921,4.08,4.654,4.966,5.381,6.049,6.63,7.227,7.696,8.358,9.529,11.702,14.391,14.977,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
